2|2|kyykky|31.0|8|1
3|2|pystypunnerrus|7.0|5|3
4|2|soutu|12.0|2|1
6|2|penkkipunnerrus|45.0|5|2
7|2|penkkipunnerrus|38.0|12|2
8|2|soutu|55.0|10|4
10|2|kyykky|2.0|3|2
11|2|penkkipunnerrus|33.0|6|1
12|2|kyykky|14.0|10|4
14|2|kyykky|37.0|4|3
15|2|soutu|42.0|5|2
16|2|dippi|17.0|5|4
18|2|kyykky|18.0|2|5
19|2|soutu|28.0|12|4
20|2|dippi|23.0|9|1
22|2|soutu|17.0|10|4
23|2|soutu|32.0|3|3
24|2|soutu|4.0|9|3
26|2|pystypunnerrus|60.0|8|5
27|2|dippi|41.0|8|3
28|2|pystypunnerrus|11.0|9|3
30|2|pystypunnerrus|4.0|8|3
31|2|dippi|43.0|4|5
32|2|pystypunnerrus|25.0|4|3
34|2|kyykky|52.0|2|2
35|2|kyykky|25.0|9|2
36|2|soutu|5.0|10|1
38|2|pystypunnerrus|17.0|11|2
39|2|dippi|32.0|6|2
40|2|soutu|42.0|5|4
42|2|penkkipunnerrus|25.0|11|2
43|2|penkkipunnerrus|30.0|4|4
44|2|penkkipunnerrus|37.0|1|5
45|17|a b|0.0|0|0
46|1|a|0.0|0|0
